,guess,score
0,Bocclszz,2921271.0
1,Bacclszz,2922464.0
2,Bocclszx,2931927.0
3,Bacclszx,2933120.0
4,Bocclszd,2937494.0
5,Bacclszd,2938687.0
6,Bocclszq,2941931.0
7,Bacclszq,2943124.0
8,Bocclszo,2947444.0
9,Bacclszo,2948637.0
10,Bocclszc,2949371.0
11,Bacclszc,2950564.0
12,Bocclsze,2953652.0
13,Bacclsze,2954845.0
14,Bocclszs,2965460.0
15,Bacclszs,2966653.0
16,Bucclszz,2968747.0
17,Bucclszx,2979403.0
18,Bucclszd,2984970.0
19,Bucclszq,2989407.0
20,Bucclszo,2994920.0
21,Bucclszc,2996847.0
22,Bucclsze,3001128.0
23,Bucclszs,3012936.0
24,Bocclsza,3020999.0
25,Bacclsza,3022192.0
26,Bocclszg,3040279.0
27,Bacclszg,3041472.0
28,Bocclszf,3044012.0
29,Bacclszf,3045205.0
30,Bocclszt,3046651.0
31,Bacclszt,3047844.0
32,Bocclszu,3050998.0
33,Bacclszu,3052191.0
34,Bocclszw,3058927.0
35,Bacclszw,3060120.0
36,Bucclsza,3068475.0
37,Bocclszy,3076907.0
38,Bocclszv,3078020.0
39,Bacclszy,3078100.0
40,Bacclszv,3079213.0
41,Bucclszg,3087755.0
42,Bucclszf,3091488.0
43,Bucclszt,3094127.0
44,Bucclszu,3098474.0
45,Bucclszw,3106403.0
46,Bucclszy,3124383.0
47,Bucclszv,3125496.0
48,Bocclszi,3142276.0
49,Bocclszr,3142276.0
50,Bocclsz,3142276.0
51,Bocclszl,3142276.0
52,Bacclszi,3143469.0
53,Bacclsz,3143469.0
54,Bacclszl,3143469.0
55,Bacclszr,3143469.0
56,Bucclsz,3189752.0
57,Bucclszi,3189752.0
58,Bucclszr,3189752.0
59,Bucclszl,3189752.0
60,Bxsclszz,3527138.0
61,Bxsclszx,3537794.0
62,Bxsclszd,3543361.0
63,Bxsclszq,3547798.0
64,Bxsclszo,3553311.0
65,Bxsclszc,3555238.0
66,Bxsclsze,3559519.0
67,Bxsclszs,3571327.0
68,Illocclszz,3608381.0
69,Illacclszz,3609574.0
70,Illocclszx,3619037.0
71,Illacclszx,3620230.0
72,Illocclszd,3624604.0
73,Illacclszd,3625797.0
74,Bxsclsza,3626866.0
75,Illocclszq,3629041.0
76,Illacclszq,3630234.0
77,Illocclszo,3634554.0
78,Illacclszo,3635747.0
79,Illocclszc,3636481.0
80,Illacclszc,3637674.0
81,Illocclsze,3640762.0
82,Illacclsze,3641955.0
83,Bxsclszg,3646146.0
84,Bxsclszf,3649879.0
85,Bxsclszt,3652518.0
86,Illocclszs,3652570.0
87,Illacclszs,3653763.0
88,Bxsclszu,3656865.0
89,Bxsclszw,3664794.0
90,Bxsclszy,3682774.0
91,Bxsclszv,3683887.0
92,Illocclsza,3708109.0
93,Illacclsza,3709302.0
94,Illocclszg,3727389.0
95,Illacclszg,3728582.0
96,Illocclszf,3731122.0
97,Illacclszf,3732315.0
98,Illocclszt,3733761.0
99,Illacclszt,3734954.0
100,Illocclszu,3738108.0
101,Illacclszu,3739301.0
102,Illocclszw,3746037.0
103,Illacclszw,3747230.0
104,Bxsclszr,3748143.0
105,Bxsclsz,3748143.0
106,Bxsclszl,3748143.0
107,Bxsclszi,3748143.0
108,Illocclszy,3764017.0
109,Illocclszv,3765130.0
110,Illacclszy,3765210.0
111,Illacclszv,3766323.0
112,Illocclszr,3829386.0
113,Illocclsz,3829386.0
114,Illocclszl,3829386.0
115,Illocclszi,3829386.0
116,Illacclsz,3830579.0
117,Illacclszi,3830579.0
118,Illacclszl,3830579.0
119,Illacclszr,3830579.0
120,Bocciszz,4430191.0
121,Bacciszz,4431384.0
122,Bocciszx,4440847.0
123,Bacciszx,4442040.0
124,Bocciszd,4446414.0
125,Bacciszd,4447607.0
126,Bocciszq,4450851.0
127,Bacciszq,4452044.0
128,Bocclszj,4455016.0
129,Bacclszj,4456209.0
130,Bocciszo,4456364.0
131,Bacciszo,4457557.0
132,Bocciszc,4458291.0
133,Bacciszc,4459484.0
134,Boccisze,4462572.0
135,Baccisze,4463765.0
136,Bocciszs,4474380.0
137,Bacciszs,4475573.0
138,Bucciszz,4477667.0
139,Bucciszx,4488323.0
140,Bucciszd,4493890.0
141,Bucciszq,4498327.0
142,Bucclszj,4502492.0
143,Bucciszo,4503840.0
144,Bucciszc,4505767.0
145,Buccisze,4510048.0
146,Bucciszs,4521856.0
147,Boccisza,4529919.0
148,Baccisza,4531112.0
149,Bocciszg,4549199.0
150,Bacciszg,4550392.0
151,Bocciszf,4552932.0
152,Bacciszf,4554125.0
153,Bocciszt,4555571.0
154,Bacciszt,4556764.0
155,Bocciszu,4559918.0
156,Bacciszu,4561111.0
157,Bocciszw,4567847.0
158,Bacciszw,4569040.0
159,Buccisza,4577395.0
160,Bocciszy,4585827.0
161,Bocciszv,4586940.0
162,Bacciszy,4587020.0
163,Bacciszv,4588133.0
164,Bucciszg,4596675.0
165,Bucciszf,4600408.0
166,Bucciszt,4603047.0
167,Bucciszu,4607394.0
168,Bucciszw,4615323.0
169,Bucciszy,4633303.0
170,Bucciszv,4634416.0
