,guess,score,left_offset,top_offset
0,Fulgora,1439,-1,11
1,Fulgaucz,1461,-1,11
2,Fulgsra,1468,-1,11
3,Fulgaura,1470,-1,11
4,Fulgaucd,1491,-1,11
5,Fulgaucq,1491,-1,11
6,Fulgaucx,1500,-1,11
7,Fulgozcx,1533,-1,11
8,Fulgauca,1533,-1,11
9,Fulgozca,1537,-1,11
10,Fulgaucc,1542,-1,11
11,Fulgauco,1542,-1,11
12,Fulgauce,1557,-1,11
13,Fulgozcf,1580,-1,11
14,Fulgara,1585,-1,11
15,Fulgauo,1595,-1,11
16,Fulgaucs,1599,-1,11
17,Fulgazcx,1601,-1,11
18,Fulgazca,1605,-1,11
19,Fulgaurz,1608,-1,11
20,Fulxpacx,1613,-1,11
21,Fulxpaca,1617,-1,11
22,Fulgsucz,1623,-1,11
23,Fulgorny,1627,-1,11
24,Fulgornv,1627,-1,11
25,Fulgsura,1632,-1,11
26,Fulgozcu,1642,-1,11
27,Fulgornx,1645,-1,11
28,Fulgoccx,1648,-1,11
29,Fulgazcf,1648,-1,11
30,Fulgocca,1652,-1,11
31,Fulgsucd,1653,-1,11
32,Fulgsucq,1653,-1,11
33,Fulgauro,1653,-1,11
34,Fulgaurq,1653,-1,11
35,Fulgsrnv,1656,-1,11
36,Fulgsrny,1656,-1,11
37,Fulxpacf,1660,-1,11
38,Fulgsucx,1662,-1,11
39,Fulgaurf,1663,-1,11
40,Fulgsrnx,1674,-1,11
41,Fulgornz,1675,-1,11
42,Fulgozcc,1691,-1,11
43,Fulgsuca,1695,-1,11
44,Fulgoccf,1695,-1,11
45,Fulgozew,1702,-1,11
46,Fulgsuco,1704,-1,11
47,Fulgsucc,1704,-1,11
48,Fulgsrnz,1704,-1,11
49,Fulgazcu,1710,-1,11
50,Fulgaurc,1718,-1,11
51,Fulgsuce,1719,-1,11
52,Fulgrxsx,1721,-1,11
53,Fulxpacu,1722,-1,11
54,Fulgoezd,1723,-1,11
55,Fulgozcz,1727,-1,11
56,Fulgoeo,1734,-1,11
57,Folgaucz,1741,-1,11
58,Fulgoocz,1741,-1,11
59,Fulgauoj,1742,-1,11
60,Fulgaue,1746,-1,11
61,Folgaura,1750,-1,11
62,Fulgsuo,1757,-1,11
63,Fulgoccu,1757,-1,11
64,Fulgazcc,1759,-1,11
65,Fulgsucs,1761,-1,11
66,Fulgorre,1761,-1,11
67,Fulgorne,1762,-1,11
68,Fulgsurz,1770,-1,11
69,Fulgazew,1770,-1,11
70,Fulgoocd,1771,-1,11
71,Folgaucd,1771,-1,11
72,Fulgoocq,1771,-1,11
73,Folgaucq,1771,-1,11
74,Fulxpacc,1771,-1,11
75,Fulgoray,1772,-1,11
76,Fulgarnv,1773,-1,11
77,Fulgarny,1773,-1,11
78,Fulgoras,1775,-1,11
79,Fulgoocx,1780,-1,11
80,Folgaucx,1780,-1,11
81,Fulxpaew,1782,-1,11
82,Fulgorn,1783,-1,11
83,Fulgsrre,1790,-1,11
84,Fulgarnx,1791,-1,11
85,Fulgsrne,1791,-1,11
86,Fulgaucw,1794,-1,11
87,Fulgazcz,1795,-1,11
88,Fulgaucg,1795,-1,11
89,Fuigaucz,1797,-1,11
90,Fulgaurw,1797,-1,11
91,Fulgaucy,1797,-1,11
92,Fulgaucv,1797,-1,11
93,Fulgsray,1801,-1,11
94,Fulgsras,1804,-1,11
95,Fuigaura,1806,-1,11
96,Fulgauct,1806,-1,11
97,Fulgoccc,1806,-1,11
98,Fulgorm,1807,-1,11
99,Fulxpacz,1807,-1,11
100,Ifulgora,1943,-2,11
101,Ifulgaucz,1965,-2,11
102,Ifulgsra,1972,-2,11
103,Ifulgaura,1974,-2,11
104,Ifulgaucq,1995,-2,11
105,Ifulgaucd,1995,-2,11
106,Ifulgaucx,2004,-2,11
107,Ifulgozcx,2037,-2,11
108,Ifulgauca,2037,-2,11
109,Ifulgozca,2041,-2,11
110,Ifulgauco,2046,-2,11
111,Ifulgaucc,2046,-2,11
112,Ifulgauce,2061,-2,11
113,Ifulgozcf,2084,-2,11
114,Ifulgauo,2099,-2,11
115,Ifulgaucs,2103,-2,11
116,Ifulgazcx,2105,-2,11
117,Ifulgazca,2109,-2,11
118,Ifulgaurz,2112,-2,11
119,Sulgaucz,2120,-2,11
120,Ifulgsucz,2127,-2,11
121,Sulgaura,2129,-2,11
122,Ifulgornv,2131,-2,11
123,Ifulgorny,2131,-2,11
124,Ifulgsura,2136,-2,11
125,Ifulgozcu,2146,-2,11
126,Ifulgornx,2149,-2,11
127,Sulgaucd,2150,-2,11
128,Sulgaucq,2150,-2,11
129,Ifulgoccx,2152,-2,11
130,Ifulgazcf,2152,-2,11
131,Ifulgocca,2156,-2,11
132,Ifulgsucd,2157,-2,11
133,Ifulgaurq,2157,-2,11
134,Ifulgauro,2157,-2,11
135,Ifulgsucq,2157,-2,11
136,Sulgaucx,2159,-2,11
137,Ifulgsrny,2160,-2,11
138,Ifulgsrnv,2160,-2,11
139,Ifulgsucx,2166,-2,11
140,Ifulgaurf,2167,-2,11
141,Ifulgsrnx,2178,-2,11
142,Ifulgornz,2179,-2,11
143,Sulgozcx,2192,-2,11
144,Sulgauca,2192,-2,11
145,Ifulgozcc,2195,-2,11
146,Sulgozca,2196,-2,11
147,Ifulgsuca,2199,-2,11
148,Ifulgoccf,2199,-2,11
149,Sulgauco,2201,-2,11
150,Sulgaucc,2201,-2,11
151,Ifulgozew,2206,-2,11
