,guess,score
0,Aquild,466528.0
1,Aquilo,466704.0
2,Aquilq,477146.0
3,Aquilc,537995.0
4,Aquilcl,537995.0
5,Aquilcj,537995.0
6,Aquilci,537995.0
7,Aquilw,1063008.0
8,Aquilix,1260159.0
9,Aquiliz,1379784.0
10,Aquila,1399538.0
11,Aquilu,1542034.0
12,Aquilx,1703353.0
13,Aquilxi,1703353.0
14,Aquilxl,1703353.0
15,Aquilxj,1703353.0
16,Aquilv,1806332.0
17,Aquiid,1975448.0
18,Aquiio,1975624.0
19,Aquiiq,1986066.0
20,Aquilia,1986684.0
21,Aquiicl,2046915.0
22,Aquiicj,2046915.0
23,Aquiic,2046915.0
24,Aquiici,2046915.0
25,Aquilr,2076833.0
26,Aquilri,2076833.0
27,Aquilrl,2076833.0
28,Aqurbi,2117431.0
29,Aqurb,2117431.0
30,Aqurbj,2117431.0
31,Aqurbl,2117431.0
32,Aquiln,2119976.0
33,Aqulld,2122536.0
34,Aqullo,2122712.0
35,Aqullq,2133154.0
36,Aqurlc,2139469.0
37,Aquilm,2144345.0
38,Aqurld,2164648.0
39,Aqurlq,2174854.0
40,Aquilrj,2192433.0
41,Aqullcj,2194003.0
42,Aqullci,2194003.0
43,Aqullcl,2194003.0
44,Aqullc,2194003.0
45,Aqurlo,2259460.0
46,Aqurle,2319008.0
47,Squild,2339266.0
48,Squilo,2339442.0
49,Squilq,2349884.0
50,Squilci,2410733.0
51,Squilcj,2410733.0
52,Squilc,2410733.0
53,Squilcl,2410733.0
54,Aquih,2429023.0
55,Aquihi,2429023.0
56,Aquihl,2429023.0
57,Aquilz,2498662.0
58,Aquilzi,2498662.0
59,Aquilzj,2498662.0
60,Aquilzl,2498662.0
61,Aqurlu,2509330.0
62,Aquihj,2544623.0
63,Aquiiw,2571928.0
64,Aquibz,2588010.0
65,Aqurln,2600688.0
66,Aqurlm,2600740.0
67,Aqurlr,2602660.0
68,Aqurki,2618062.0
69,Aqurk,2618062.0
70,Aqurkj,2618062.0
71,Aqurkl,2618062.0
72,Aquibx,2622138.0
73,Aquiba,2625086.0
74,Aquibd,2637007.0
75,Aquibq,2644778.0
76,Aquibo,2655453.0
77,Aquibc,2660566.0
78,Aquibe,2670493.0
79,Aquibs,2686873.0
80,Aqullw,2719016.0
81,Aquiiix,2769079.0
