,word,error
0,Bombus,10807759.0
1,Bacchus,12200550.0
2,Bambos,13432452.0
3,Dioicous,15086503.0
4,Raccoon,15159602.0
5,Bamboo,15319623.0
6,Bootboy,15409409.0
7,Baryton,16045992.0
8,Rombos,16483721.0
9,Bambini,16952123.0
10,Baccara,17143917.0
11,Dustbox,17227115.0
12,Ramous,17256011.0
13,Baccate,17399159.0
14,Buccate,17445442.0
15,Nasutus,17790056.0
16,Bureaux,17819063.0
17,Bateaux,17821688.0
18,Baculitic,18530381.0
19,Ramism,18936945.0
20,Baptisin,19142503.0
21,Bootikin,19247662.0
22,Aconitin,19422235.0
23,Bombyx,19588765.0
24,Routous,19599415.0
25,Boccaro,19671365.0
26,Boreism,19954188.0
27,Doutous,19975261.0
28,Aconitia,20097750.0
29,Garston,20215971.0
30,Hamous,20407624.0
31,Burnout,20502761.0
32,Backrun,20591242.0
33,Becross,20632816.0
34,Barotse,20686254.0
35,Baptism,20815439.0
36,Baptisia,20929614.0
37,Humous,20965163.0
38,Burnous,21282755.0
39,Doorboy,21343707.0
40,Bourbon,21345939.0
41,Baculite,21396525.0
42,Filarious,21471551.0
43,Bravado,21691203.0
44,Bruchus,21722963.0
45,Nacrous,21868574.0
46,Overbuy,21917907.0
47,Bruscus,21952275.0
48,Barrator,22033377.0
49,Nomeus,22110352.0
50,Tinnitus,22114604.0
51,Bumbler,22124546.0
52,Duteous,22127186.0
53,Acosmic,22254378.0
54,Outshut,22313384.0
55,Bemata,22437999.0
56,Nomism,22452877.0
57,Rumpus,22569409.0
58,Bamoth,22580388.0
59,Humism,22646097.0
60,Durukuli,22685926.0
61,Bernicia,22689675.0
62,Bacchiac,22703397.0
63,Nervous,22767017.0
64,Barabra,22788791.0
65,Gamma,22833821.0
66,Bataleur,23018236.0
67,Brusque,23045769.0
68,Backtracker,23071079.0
69,Backtrack,23071079.0
70,Brasque,23088606.0
71,Anatron,23245906.0
72,Gumma,23391360.0
73,Bardism,23405155.0
74,Recross,23430868.0
75,Hautboy,23442387.0
76,Bouchal,23564050.0
77,Buisson,23601677.0
78,Aconital,23739172.0
79,Urostea,23751204.0
80,Buccinal,23823248.0
81,Bursera,23911630.0
82,Bemoon,23919736.0
83,Ramass,23932837.0
84,Buncher,23960763.0
85,Bursate,23999272.0
86,Hackbut,24003676.0
87,Fusuma,24014588.0
88,Outshot,24019520.0
89,Oryssus,24039836.0
90,Detritus,24221358.0
91,Beauish,24228665.0
92,Ochrous,24244440.0
93,Gambier,24245003.0
94,Isocolon,24248325.0
95,Turicata,24259895.0
96,Icosteus,24263028.0
97,Basilical,24285071.0
98,Diosmin,24359634.0
99,Rambler,24365059.0
100,Narcous,24369278.0
101,Burnish,24370128.0
102,Garvock,24414336.0
103,Rorulent,24436312.0
104,Borreria,24549574.0
105,Overlain,24601293.0
106,Baroque,24638077.0
107,Nervism,24652731.0
108,Diacrisis,24672194.0
109,Barman,24709300.0
110,Isocratic,24780877.0
111,Recroon,24785804.0
112,Activism,24801908.0
113,Bestock,24803213.0
114,Bathtub,24862264.0
115,Rumbler,24922598.0
116,Bacterin,24976052.0
117,Bravade,25032114.0
118,Browser,25045734.0
119,Oryctics,25085283.0
120,Ricininic,25137167.0
121,Uncross,25208291.0
122,Suecism,25215412.0
123,Avernus,25220992.0
124,Burman,25266839.0
125,Batman,25269464.0
126,Botrytis,25282705.0
127,Activital,25297201.0
128,Isocracy,25324764.0
129,Acmaea,25341731.0
130,Uncrook,25368019.0
131,Brickbat,25376678.0
132,Dicerion,25391148.0
133,Outstart,25424710.0
134,Idocrase,25459867.0
135,Bracteal,25491105.0
136,Bemaim,25515587.0
137,Bourock,25539655.0
138,Bucrane,25558085.0
139,Fuscous,25570017.0
140,Gumboil,25591440.0
141,Bemock,25596731.0
142,Betorcin,25610133.0
143,Gumpus,25639339.0
144,Bacchae,25653967.0
145,Barsom,25657454.0
146,Becurse,25664004.0
147,Avocado,25714144.0
148,Rearisal,25751910.0
149,Anaclitic,25774807.0
150,Recidive,25803729.0
151,Brayera,25845552.0
152,Maxima,25901746.0
153,Odorous,25913245.0
154,Gearbox,25917996.0
155,Quintius,25920891.0
156,Aconine,25927269.0
157,Biscotin,25950794.0
158,Sexuous,25969038.0
159,Bravura,26031639.0
160,Ruinous,26033658.0
161,Buccally,26052162.0
162,Nucellus,26069003.0
163,Buckish,26076678.0
164,Loricata,26082284.0
165,Roccella,26112031.0
166,Desultor,26131311.0
167,Bumelia,26152115.0
168,Fonnish,26157260.0
169,Borasca,26158010.0
170,Avocate,26163401.0
171,Atenism,26187444.0
172,Rancher,26201276.0
173,Anurous,26204025.0
174,Borealis,26214551.0
175,Baisakh,26245537.0
176,Nocuous,26245988.0
177,Bacillary,26248161.0
178,Dorsalis,26343073.0
179,Raucous,26360006.0
180,Ravison,26369787.0
181,Actinian,26370842.0
182,Anychia,26378560.0
183,Breakup,26406371.0
184,Pronoun,26414254.0
185,Fauvism,26430298.0
186,Ramrod,26439234.0
187,Damme,26457843.0
188,Dioxime,26470397.0
189,Drosera,26477230.0
190,Bestove,26486399.0
191,Ramate,26499009.0
192,Avidious,26502395.0
193,Osmous,26504676.0
194,Bandala,26505967.0
195,Dustuck,26512422.0
196,Ramson,26515111.0
197,Bothros,26585235.0
198,Bashaw,26597252.0
199,Damara,26619613.0
200,Brahma,26665471.0
201,Antaeus,26666307.0
202,Oxonian,26685096.0
203,Grysbok,26781602.0
204,Nautilus,26789431.0
205,Acacetin,26791560.0
206,Quartan,26817221.0
207,Formica,26886791.0
208,Pronaos,26890328.0
209,Damson,26890957.0
210,Malchus,26893017.0
211,Brickish,26899697.0
212,Feasten,26900397.0
213,Batoidei,26933743.0
214,Dronish,26935728.0
215,Expulser,26944559.0
216,Uberous,26964711.0
217,Bartram,26974340.0
218,Narcose,26984183.0
219,Fussock,26987523.0
220,Buceros,26991281.0
221,Baskish,26994965.0
222,Outstrip,27035865.0
223,Bummie,27063838.0
224,Rachitis,27067584.0
225,Scorious,27080092.0
226,Bovidae,27141180.0
227,Bummaree,27167669.0
228,Thecata,27170142.0
229,Boatlike,27200940.0
230,Bamalip,27229442.0
231,Randem,27234810.0
232,Butteris,27249450.0
233,Finalism,27268816.0
234,Bacteric,27269887.0
235,Brocatel,27306736.0
236,Buttons,27349168.0
237,Bernicle,27360041.0
238,Basileus,27390125.0
239,Bathmic,27410247.0
240,Roccellic,27414861.0
241,Gambler,27434989.0
242,Daemon,27469975.0
243,Restack,27477862.0
244,Gemma,27483155.0
245,Dereism,27524203.0
246,Outskirt,27535688.0
247,Breviary,27571861.0
248,Oronoco,27587528.0
249,Gyroma,27594817.0
250,Acentric,27599336.0
251,Restock,27601265.0
252,Baculine,27625444.0
253,Nonuser,27675715.0
254,Heroism,27698573.0
255,Acarapis,27700423.0
256,Bacchar,27701697.0
257,Bestuck,27704711.0
258,Bashlyk,27735792.0
259,Aruncus,27759906.0
260,Fistiana,27782786.0
261,Retama,27789985.0
262,Boucher,27797161.0
263,Fomites,27829383.0
264,Miscook,27837281.0
265,Burnfire,27854121.0
266,Annulus,27855480.0
267,Turndun,27918900.0
268,Residua,27925429.0
269,Rivinian,27949218.0
270,Outvote,27954317.0
271,Urachus,27954772.0
272,Brahmic,27968301.0
273,Scenical,27970281.0
274,Acontius,28011774.0
275,Buchloe,28032300.0
276,Uranous,28032406.0
277,Uranism,28044196.0
278,Bencher,28052558.0
279,Humbler,28074211.0
280,Dowitch,28074265.0
281,Scirrhus,28077436.0
282,Lynceus,28079998.0
283,Rescind,28080451.0
284,Uncinus,28081683.0
285,Duncish,28083200.0
286,Narrator,28094144.0
287,Overrun,28095815.0
288,Ricinine,28107127.0
289,Ramsch,28138973.0
290,Acontias,28142075.0
291,Besnow,28151726.0
292,Raspish,28164460.0
293,Sticcado,28172418.0
294,Bummer,28216573.0
295,Bummerish,28216573.0
296,Biwinter,28219601.0
297,Bourout,28229279.0
298,Humblie,28287776.0
299,Untress,28291062.0
300,Bourdon,28321801.0
301,Desmon,28323723.0
302,Tsantsa,28324675.0
303,Ramular,28327422.0
304,Overhot,28327948.0
305,Brooklet,28337312.0
306,Rostroid,28345671.0
307,Horouta,28345867.0
308,Azurean,28350350.0
309,Mixtilion,28353575.0
310,Hayrack,28358136.0
311,Bemuck,28388795.0
312,Remock,28394783.0
313,Aracana,28403342.0
314,Exosmic,28412141.0
315,Iotacism,28415155.0
316,Buckpot,28435662.0
317,Outstrut,28450619.0
318,Dolichos,28451258.0
319,Bereave,28452076.0
320,Recurse,28462056.0
321,Salivous,28482023.0
322,Dammar,28490600.0
323,Bosomy,28504508.0
324,Become,28508102.0
325,Outcourt,28509564.0
326,Overlow,28513065.0
327,Bemoult,28548759.0
328,Vacuous,28552119.0
329,Besmut,28556104.0
330,Bacchuslike,28560184.0
331,Broomer,28568956.0
332,Remass,28582171.0
333,Baptistic,28591261.0
334,Scarious,28603403.0
335,Ascoma,28607432.0
336,Outsuck,28611713.0
337,Azimino,28614713.0
338,Uncram,28625928.0
339,Damask,28635076.0
340,Passout,28680793.0
341,Urticate,28680835.0
342,Dornock,28701719.0
343,Ramistical,28703272.0
344,Ataraxia,28709767.0
345,Overleer,28714117.0
346,Reavow,28718416.0
347,Overboil,28723831.0
348,Briareus,28726926.0
349,Tomosis,28729736.0
350,Necrose,28734561.0
351,Tencteri,28752471.0
352,Sanctus,28764427.0
353,Bachichi,28773674.0
354,Besneer,28780622.0
355,Aswoon,28782757.0
356,Fumaria,28796597.0
357,Rechew,28803964.0
358,Exaction,28812652.0
359,Barterer,28814466.0
360,Rockish,28827254.0
361,Rament,28843344.0
362,Raccroc,28845766.0
363,Brushet,28863648.0
364,Ganosis,28872522.0
365,Narrater,28877799.0
366,Fulcrate,28923545.0
367,Bromius,28932709.0
368,Doctoral,28933387.0
369,Bowline,28934249.0
370,Proclisis,28947429.0
371,Stenton,28948750.0
372,Sinicism,28959237.0
373,Barbitos,28963026.0
374,Nutritial,28971994.0
375,Barytes,28975750.0
376,Opacous,29027920.0
377,Dammara,29028477.0
378,Rescrub,29034854.0
379,Baptizer,29045152.0
380,Nataloin,29045543.0
381,Gosplan,29052750.0
382,Ramose,29064622.0
383,Dismiss,29076220.0
384,Upraiser,29100909.0
385,Beothuk,29117762.0
386,Pronavy,29121541.0
387,Beshear,29147695.0
388,Untribal,29154855.0
389,Bhavani,29166592.0
390,Atomics,29187292.0
391,Bespew,29211112.0
392,Guarabu,29219137.0
393,Baxtone,29219787.0
394,Recurve,29220673.0
395,Harmon,29228630.0
396,Bosnian,29244023.0
397,Brabbler,29255831.0
398,Outcase,29268663.0
399,Mandua,29270058.0
400,Fluxroot,29282551.0
401,Rustred,29293390.0
402,Beslash,29330772.0
403,Reindue,29339188.0
404,Rockfoil,29367677.0
