,guess,score
209,Fulgarjv,5053434.0
210,Fulgurjy,5061689.0
211,Fulgarjx,5100929.0
212,Fuigorig,5119462.0
213,Fulgorjz,5134751.0
214,Fulgurjv,5159301.0
215,Fulgorju,5164344.0
216,Fulgocc,5195628.0
217,Fuigorjw,5200359.0
218,Fulgurjx,5206796.0
219,Fuigorjy,5211723.0
220,Fulgocq,5244036.0
221,Fulgocx,5275279.0
222,Fulgorlx,5291653.0
223,Fuigorjv,5309335.0
224,Fulgarit,5317272.0
225,Fulgarv,5328697.0
226,Fulgocd,5349166.0
227,Fuigorjx,5356830.0
228,Fulgonn,5374584.0
229,Fulgonm,5374584.0
230,Fulgonr,5374584.0
231,Fulgurit,5423139.0
232,Fulgurv,5434564.0
233,Fulgoco,5435337.0
234,Fulgonu,5436374.0
235,Fulgorle,5517825.0
236,Fuigorit,5573173.0
237,Fuigorv,5584598.0
238,Fulgorls,5599490.0
239,Fulgarje,5611373.0
240,Fulgorjt,5662142.0
241,Fulgorlo,5672581.0
242,Fulgorld,5711110.0
243,Fulgorlq,5713954.0
244,Fulgurje,5717240.0
245,Fulgorlc,5749734.0
246,Fulguce,5789194.0
247,Fulgorjr,5802302.0
248,Fulgorjm,5802302.0
249,Fulgorjn,5802302.0
250,Fulgorja,5823587.0
251,Fulgorb,5840165.0
252,Fulgaru,5849115.0
253,Fuigorje,5867274.0
254,Fulgarjo,5883489.0
255,Fulgarp,5919581.0
256,Fulgonii,5922844.0
257,Fulgonil,5922844.0
258,Fulgoni,5922844.0
259,Fulgonij,5922844.0
260,Fulgori,5931670.0
261,Fulguru,5954982.0
262,Fulgoiw,5955871.0
263,Fulgocz,5962696.0
264,Fulgarjq,5971806.0
265,Fulgariil,5972744.0
266,Fulgariij,5972744.0
267,Fulgarii,5972744.0
268,Fulgariii,5972744.0
269,Fulgurjo,5989356.0
270,Fulgarjc,5999762.0
271,Fulgarjd,6008082.0
272,Fulgurp,6025448.0
273,Fulgonc,6034171.0
274,Fulgarif,6071288.0
275,Fulgurjq,6077673.0
276,Fulguriii,6078611.0
277,Fulgurii,6078611.0
278,Fulguriij,6078611.0
279,Fulguriil,6078611.0
280,Fulgoca,6097140.0
281,Fulgorlz,6101230.0
282,Fulgorip,6102575.0
283,Fulgonq,6104023.0
284,Fuigoru,6105016.0
285,Fulgurjc,6105629.0
286,Fulgurjd,6113949.0
287,Fuigorjo,6139390.0
288,Fulgond,6141711.0
289,Fulgono,6153432.0
290,Fuigorp,6175482.0
291,Fulgurif,6177155.0
292,Fulgocri,6187135.0
293,Fulgocrj,6187135.0
294,Fulgocr,6187135.0
295,Fulgocrl,6187135.0
296,Fulgorlw,6191422.0
297,Fulgocs,6226771.0
298,Fuigorjq,6227707.0
299,Fuigoriij,6228645.0
300,Fuigoriil,6228645.0
301,Fuigoriii,6228645.0
302,Fuigorii,6228645.0
303,Fuigorjc,6255663.0
304,Fuigorjd,6263983.0
305,Fulgorla,6312802.0
306,Fulgucc,6326772.0
307,Fuigorif,6327189.0
308,Fulgorlu,6340767.0
309,Fulgorj,6342919.0
310,Fulgocn,6365548.0
311,Fulgucq,6375180.0
312,Fulgocm,6375412.0
313,Fulgarjz,6387770.0
314,Fulgucx,6406423.0
315,Fulgarju,6417363.0
316,Fulgone,6426520.0
