,guess,score
0,Suzjuoul,12241650.0
1,Suzjuoui,12241650.0
2,Suzjuou,12241650.0
3,Suzjuouj,12357250.0
4,Suzjupu,12488131.0
5,Suzjupul,12488131.0
6,Suzjupui,12488131.0
7,Suzjupuj,12603731.0
8,Suzjuoxa,12625326.0
9,Suzjuosi,12763513.0
10,Suzjuosl,12763513.0
11,Suzjuos,12763513.0
12,Suzjuoiw,12774091.0
13,Suzjuosj,12879113.0
14,Suzjupxa,12885187.0
15,Suzuzzu,12924601.0
16,Suzjuoiu,12985684.0
17,Suzjuoxz,13020730.0
18,Suzjuoia,13021048.0
19,Suzuzaw,13025639.0
20,Suzjupiw,13047008.0
21,Suzjuovl,13062134.0
22,Suzjuov,13062134.0
23,Suzjuovi,13062134.0
24,Suzjupsl,13112270.0
25,Suzjupsi,13112270.0
26,Suzjups,13112270.0
27,Suzuzow,13124352.0
28,Suzjuoxx,13145866.0
29,Suzjuovj,13177734.0
30,Suzjupsj,13227870.0
31,Suzuzau,13237232.0
32,Suzjuool,13256444.0
33,Suzjuooi,13256444.0
34,Suzjuoo,13256444.0
35,Suzjupiu,13258601.0
36,Suzuzaa,13272596.0
37,Suzjupxz,13280591.0
38,Suzjuoxd,13284495.0
39,Suzjupia,13293965.0
40,Suzjuoiv,13309116.0
41,Suzjuoiz,13316524.0
42,Suzjuoxq,13317594.0
43,Suzuzou,13335945.0
44,Suzjuoxe,13350621.0
45,Suzjuoxo,13350941.0
46,Suzjupv,13351551.0
47,Suzjupvl,13351551.0
48,Suzjupvi,13351551.0
49,Suzjuoxc,13356006.0
50,Suzuzoa,13371309.0
51,Suzjuooj,13372044.0
52,Suzjupxx,13405727.0
53,Suzjuoxs,13448505.0
54,Suzjupvj,13467151.0
55,Suzjuoxg,13493384.0
56,Suzjupol,13502553.0
57,Suzjupo,13502553.0
58,Suzjupoi,13502553.0
59,Suzjuoyl,13503146.0
60,Suzjuoyi,13503146.0
61,Suzjuoy,13503146.0
62,Suzjuoid,13534194.0
63,Suzjupxd,13544356.0
64,Suzjuoxi,13549445.0
65,Suzjuoxl,13549445.0
66,Suzjuox,13549445.0
67,Suzjuoxr,13549445.0
68,Suzjuoxu,13556447.0
69,Suzjuoio,13560525.0
70,Suzuzav,13560664.0
71,Suzuzaz,13568072.0
72,Suzjupxq,13577455.0
73,Suzjupiv,13582033.0
74,Suzjupiz,13589441.0
75,Suzjupxe,13610482.0
76,Suzjupxo,13610802.0
77,Suzjupxc,13615867.0
78,Suzjupoj,13618153.0
79,Sozuzzu,13647179.0
80,Suzuzov,13659377.0
81,Suzjuoic,13661968.0
82,Suzuzoz,13666785.0
83,Suzjuoiq,13677064.0
84,Suzuzzd,13691703.0
85,Suzjupxs,13708366.0
86,Suzjuoxf,13727289.0
87,Suzuzzo,13746285.0
88,Suzjuqsl,13748306.0
89,Suzjuqsi,13748306.0
90,Suzjuqs,13748306.0
91,Suzjuoxt,13753070.0
92,Suzjupxg,13753245.0
93,Suzuzzq,13756193.0
94,Suzuzad,13785742.0
95,Suzjupy,13791015.0
96,Suzjupyl,13791015.0
97,Suzjupyi,13791015.0
98,Suzjupid,13807111.0
99,Suzuzzv,13807521.0
100,Suzjupxr,13809306.0
101,Suzjupx,13809306.0
102,Suzjupxi,13809306.0
103,Suzjupxl,13809306.0
104,Suzuzao,13812073.0
105,Suzjupxu,13816308.0
106,Suzjuoxw,13818014.0
107,Suzjupio,13833442.0
108,Suzjuqsj,13863906.0
109,Suzjuoxy,13882278.0
110,Suzuzod,13884455.0
111,Suzjuoxv,13885785.0
112,Suzuzzcj,13906152.0
113,Suzuzzc,13906152.0
114,Suzuzzci,13906152.0
115,Suzuzzcl,13906152.0
116,Suzuzoo,13910786.0
117,Suzuzac,13913516.0
118,Suzuzw,13923290.0
119,Suzuzwi,13923290.0
120,Suzuzwl,13923290.0
121,Suzuzaq,13928612.0
122,Suzjupic,13934885.0
123,Suzjupiq,13949981.0
124,Suzjupxf,13987150.0
125,Suzuzoc,14012229.0
126,Suzjupxt,14012931.0
127,Suzuzoq,14027325.0
128,Suzuzwj,14038890.0
129,Suzjupxw,14077875.0
130,Suzjupxy,14142139.0
131,Suzjupxv,14145646.0
132,Suzjuoiia,14153851.0
133,Suzuzxv,14166606.0
134,Suzjuoix,14229043.0
135,Suzjuora,14366759.0
