,guess,score,x_offset,y_offset
113,Boccttzi,57708459.0,0.20000000000000018,15
114,Boccttzi,57708459.0,0.40000000000000036,15
115,Boccttzl,59650439.0,-0.3999999999999999,15
116,Boccttzl,59650439.0,-0.19999999999999996,15
117,Boccttzl,59650439.0,0.0,15
118,Boccttzl,59650439.0,0.20000000000000018,15
119,Boccttzl,59650439.0,0.40000000000000036,15
120,Boxulrz,60004069.0,0.6000000000000001,15
121,Boxulrz,60004069.0,0.8000000000000003,15
122,Boxulrz,60004069.0,1.0,15
123,Boxulrz,60004069.0,1.2000000000000002,15
124,Boxulrz,60004069.0,1.4000000000000004,15
125,Boccttzj,61322960.0,-0.3999999999999999,15
126,Boccttzj,61322960.0,-0.19999999999999996,15
127,Boccttzj,61322960.0,0.0,15
128,Boccttzj,61322960.0,0.20000000000000018,15
129,Boccttzj,61322960.0,0.40000000000000036,15
130,Bocctrzl,61861559.0,-0.3999999999999999,15
131,Bocctrzl,61861559.0,-0.19999999999999996,15
132,Bocctrzl,61861559.0,0.0,15
133,Bocctrzl,61861559.0,0.20000000000000018,15
134,Bocctrzl,61861559.0,0.40000000000000036,15
135,Bacclszo,66835411.0,-1.4,15
136,Bacclszo,66835411.0,-1.2,15
137,Bacclszo,66835411.0,-1.0,15
138,Bacclszo,66835411.0,-0.7999999999999998,15
139,Bacclszo,66835411.0,-0.5999999999999999,15
140,Bacclszx,69086222.0,-1.4,15
141,Bacclszx,69086222.0,-1.2,15
142,Bacclszx,69086222.0,-1.0,15
143,Bacclszx,69086222.0,-0.7999999999999998,15
144,Bacclszx,69086222.0,-0.5999999999999999,15
145,Bacclszd,72881021.0,-1.4,15
146,Bacclszd,72881021.0,-1.2,15
147,Bacclszd,72881021.0,-1.0,15
148,Bacclszd,72881021.0,-0.7999999999999998,15
149,Bacclszd,72881021.0,-0.5999999999999999,15
150,Bacclszs,75274128.0,-1.4,15
151,Bacclszs,75274128.0,-1.2,15
152,Bacclszs,75274128.0,-1.0,15
153,Bacclszs,75274128.0,-0.7999999999999998,15
154,Bacclszs,75274128.0,-0.5999999999999999,15
155,Bacclszz,75655231.0,-1.4,15
156,Bacclszz,75655231.0,-1.2,15
157,Bacclszz,75655231.0,-1.0,15
158,Bacclszz,75655231.0,-0.7999999999999998,15
159,Bacclszz,75655231.0,-0.5999999999999999,15
160,Bacclszq,76205022.0,-1.4,15
161,Bacclszq,76205022.0,-1.2,15
162,Bacclszq,76205022.0,-1.0,15
163,Bacclszq,76205022.0,-0.7999999999999998,15
164,Bacclszq,76205022.0,-0.5999999999999999,15
165,Bacclsze,80420984.0,-1.4,15
166,Bacclsze,80420984.0,-1.2,15
167,Bacclsze,80420984.0,-1.0,15
168,Bacclsze,80420984.0,-0.7999999999999998,15
169,Bacclsze,80420984.0,-0.5999999999999999,15
170,Bacclsza,86450209.0,-1.4,15
171,Bacclsza,86450209.0,-1.2,15
172,Bacclsza,86450209.0,-1.0,15
173,Bacclsza,86450209.0,-0.7999999999999998,15
174,Bacclsza,86450209.0,-0.5999999999999999,15
175,Bacclszg,97719474.0,-1.4,15
176,Bacclszg,97719474.0,-1.2,15
177,Bacclszg,97719474.0,-1.0,15
